# gridcell_lon=-3.50000, gridcell_lat=37.50000
times_utc,alpha,beta,ssa,pwater,pressure,ozone,albedo
2022-01-08 01:30:00,1.37801,0.00781,0.92353,0.39631,923.5562,0.31687,0.18775
2022-01-08 02:30:00,1.37668,0.00769,0.92354,0.41751,923.55429,0.31687,0.18774
2022-01-08 03:30:00,1.37464,0.00791,0.92355,0.45538,923.55237,0.31686,0.18774
2022-01-08 04:30:00,1.37316,0.00805,0.92357,0.48085,923.55046,0.31686,0.18774
2022-01-08 05:30:00,1.36844,0.00799,0.92358,0.47536,923.54854,0.31685,0.18774
2022-01-08 06:30:00,1.36557,0.00784,0.92359,0.44318,923.54663,0.31685,0.18774
2022-01-08 07:30:00,1.36696,0.00772,0.9236,0.41203,923.54471,0.31685,0.18774
2022-01-08 08:30:00,1.37049,0.00739,0.92361,0.38545,923.5428,0.31684,0.18774
2022-01-08 09:30:00,1.37203,0.00721,0.92362,0.36419,923.54088,0.31684,0.18773
2022-01-08 10:30:00,1.38409,0.00707,0.92363,0.35495,923.53897,0.31684,0.18773
2022-01-08 11:30:00,1.39025,0.00701,0.92364,0.3564,923.53705,0.31683,0.18773
2022-01-08 12:30:00,1.53157,0.00591,0.92365,0.36528,923.53514,0.31683,0.18773
2022-01-08 13:30:00,1.48455,0.00684,0.92367,0.37363,923.53323,0.31682,0.18773
2022-01-08 14:30:00,1.43686,0.0079,0.92368,0.3667,923.53131,0.31682,0.18773
2022-01-08 15:30:00,1.1936,0.01122,0.92369,0.34425,923.5294,0.31682,0.18772
2022-01-08 16:30:00,1.20514,0.01094,0.9237,0.32233,923.52748,0.31681,0.18772
2022-01-08 17:30:00,1.22567,0.01052,0.92371,0.30814,923.52557,0.31681,0.18772
2022-01-08 18:30:00,1.26305,0.00918,0.92372,0.30608,923.52365,0.31681,0.18772
2022-01-08 19:30:00,1.28133,0.00805,0.92373,0.30531,923.52174,0.3168,0.18772
2022-01-08 20:30:00,1.27115,0.0079,0.92374,0.2941,923.51982,0.3168,0.18772
2022-01-08 21:30:00,1.25797,0.00788,0.92375,0.29186,923.51791,0.3168,0.18771
2022-01-08 22:30:00,1.23983,0.00799,0.92377,0.30695,923.51599,0.31679,0.18771
2022-01-08 23:30:00,1.21591,0.00817,0.92378,0.31472,923.51408,0.31679,0.18771
2022-01-09 00:30:00,1.21124,0.00799,0.92379,0.30487,923.51216,0.31678,0.18771
2022-01-09 01:30:00,1.2263,0.00753,0.9238,0.29337,923.51025,0.31678,0.18771
2022-01-09 02:30:00,1.24037,0.0072,0.92381,0.29958,923.50834,0.31678,0.18771
2022-01-09 03:30:00,1.24949,0.00717,0.92382,0.32496,923.50642,0.31677,0.18771
2022-01-09 04:30:00,1.25942,0.00747,0.92383,0.36367,923.50451,0.31677,0.1877
2022-01-09 05:30:00,1.2702,0.00808,0.92384,0.42034,923.50259,0.31677,0.1877
2022-01-09 06:30:00,1.28717,0.00843,0.92385,0.5146,923.50068,0.31676,0.1877
2022-01-09 07:30:00,1.31459,0.00844,0.92387,0.65268,923.49876,0.31676,0.1877
2022-01-09 08:30:00,1.34439,0.00857,0.92388,0.82693,923.49685,0.31676,0.1877
2022-01-09 09:30:00,1.37872,0.00842,0.92389,0.98097,923.49493,0.31675,0.1877
2022-01-09 10:30:00,1.42856,0.00763,0.9239,1.05514,923.49302,0.31675,0.18769
2022-01-09 11:30:00,1.46596,0.00711,0.92391,1.07425,923.4911,0.31674,0.18769
2022-01-09 12:30:00,1.17805,0.01118,0.92392,1.07463,923.48919,0.31674,0.18769
2022-01-09 13:30:00,1.26453,0.01056,0.92393,1.07853,923.48728,0.31674,0.18769
2022-01-09 14:30:00,1.31358,0.01085,0.92394,1.10917,923.48536,0.31673,0.18769
2022-01-09 15:30:00,1.15246,0.01488,0.92395,1.1779,923.48345,0.31673,0.18769
2022-01-09 16:30:00,1.15425,0.01574,0.92397,1.24748,923.48153,0.31673,0.18769
2022-01-09 17:30:00,1.11834,0.01716,0.92398,1.27214,923.47962,0.31672,0.18768
2022-01-09 18:30:00,1.07423,0.02055,0.92399,1.25417,923.4777,0.31672,0.18768
2022-01-09 19:30:00,1.07543,0.02406,0.924,1.23307,923.47579,0.31671,0.18768
2022-01-09 20:30:00,1.11793,0.02402,0.92401,1.26512,923.47387,0.31671,0.18768
2022-01-09 21:30:00,1.15869,0.0244,0.92402,1.33735,923.47196,0.31671,0.18768
2022-01-09 22:30:00,1.19588,0.02339,0.92403,1.40649,923.47004,0.3167,0.18768
2022-01-09 23:30:00,1.23403,0.0212,0.92404,1.44906,923.46813,0.3167,0.18767
2022-01-10 00:30:00,1.23583,0.02164,0.92405,1.47414,923.46621,0.3167,0.18767
2022-01-10 01:30:00,1.23014,0.02186,0.92407,1.49848,923.4643,0.31669,0.18767
2022-01-10 02:30:00,1.23435,0.02053,0.92408,1.52047,923.46239,0.31669,0.18767
2022-01-10 03:30:00,1.2438,0.02002,0.92409,1.53695,923.46047,0.31669,0.18767
2022-01-10 04:30:00,1.26252,0.01891,0.9241,1.54842,923.45856,0.31668,0.18767
2022-01-10 05:30:00,1.28954,0.01731,0.92411,1.55597,923.45664,0.31668,0.18766
2022-01-10 06:30:00,1.29211,0.0179,0.92412,1.55433,923.45473,0.31667,0.18766
2022-01-10 07:30:00,1.30546,0.01786,0.92413,1.5369,923.45281,0.31667,0.18766
2022-01-10 08:30:00,1.36423,0.01586,0.92414,1.50523,923.4509,0.31667,0.18766
2022-01-10 09:30:00,1.3724,0.01528,0.92416,1.46801,923.44898,0.31666,0.18766
2022-01-10 10:30:00,1.4586,0.01288,0.92417,1.43295,923.44707,0.31666,0.18766
2022-01-10 11:30:00,1.50977,0.01176,0.92418,1.39892,923.44515,0.31666,0.18766
2022-01-10 12:30:00,1.10317,0.02032,0.92419,1.36528,923.44324,0.31665,0.18765
2022-01-10 13:30:00,1.22577,0.0182,0.9242,1.33728,923.44133,0.31665,0.18765
2022-01-10 14:30:00,1.33549,0.01634,0.92421,1.31787,923.43941,0.31664,0.18765
2022-01-10 15:30:00,1.41623,0.01459,0.92422,1.30191,923.4375,0.31664,0.18765
2022-01-10 16:30:00,1.46116,0.01342,0.92423,1.28279,923.43558,0.31664,0.18765
2022-01-10 17:30:00,1.48505,0.01267,0.92424,1.26091,923.43367,0.31663,0.18765
2022-01-10 18:30:00,1.49868,0.01214,0.92426,1.23356,923.43175,0.31663,0.18764
2022-01-10 19:30:00,1.50985,0.01176,0.92427,1.19641,923.42984,0.31663,0.18764
2022-01-10 20:30:00,1.52085,0.01154,0.92428,1.14832,923.42792,0.31662,0.18764
2022-01-10 21:30:00,1.53045,0.0114,0.92429,1.09243,923.42601,0.31662,0.18764
2022-01-10 22:30:00,1.52615,0.01137,0.9243,1.03736,923.42409,0.31662,0.18764
2022-01-10 23:30:00,1.51191,0.01108,0.92431,0.98938,923.42218,0.31661,0.18764
2022-01-11 00:30:00,1.48255,0.01083,0.92432,0.95228,923.42026,0.31661,0.18764
2022-01-11 01:30:00,1.4502,0.01069,0.92433,0.93433,923.41835,0.3166,0.18763
2022-01-11 02:30:00,1.41886,0.01077,0.92434,0.92812,923.41644,0.3166,0.18763
2022-01-11 03:30:00,1.3963,0.01116,0.92436,0.92455,923.41452,0.3166,0.18763
2022-01-11 04:30:00,1.38375,0.01163,0.92437,0.91511,923.41261,0.31659,0.18763
2022-01-11 05:30:00,1.37601,0.01201,0.92438,0.89554,923.41069,0.31659,0.18763
2022-01-11 06:30:00,1.37856,0.01189,0.92439,0.87519,923.40878,0.31659,0.18763
2022-01-11 07:30:00,1.3902,0.0115,0.9244,0.86347,923.40686,0.31658,0.18762
2022-01-11 08:30:00,1.4232,0.0103,0.92441,0.86155,923.40495,0.31658,0.18762
2022-01-11 09:30:00,1.45105,0.00941,0.92442,0.86358,923.40303,0.31657,0.18762
2022-01-11 10:30:00,1.47564,0.00902,0.92443,0.86796,923.40112,0.31657,0.18762
2022-01-11 11:30:00,1.49125,0.00903,0.92444,0.87469,923.3992,0.31657,0.18762
2022-01-11 12:30:00,1.14963,0.01531,0.92446,0.88725,923.39729,0.31656,0.18762
2022-01-11 13:30:00,1.21165,0.01422,0.92447,0.90875,923.39537,0.31656,0.18761
2022-01-11 14:30:00,1.26603,0.01343,0.92448,0.94584,923.39346,0.31656,0.18761
2022-01-11 15:30:00,1.07185,0.01881,0.92449,0.99619,923.39155,0.31655,0.18761
2022-01-11 16:30:00,1.11541,0.01823,0.9245,1.04611,923.38963,0.31655,0.18761
2022-01-11 17:30:00,1.15104,0.01785,0.92451,1.07924,923.38772,0.31655,0.18761
2022-01-11 18:30:00,1.18334,0.01733,0.92452,1.0909,923.3858,0.31654,0.18761
2022-01-11 19:30:00,1.21785,0.01671,0.92453,1.09126,923.38389,0.31654,0.18761
2022-01-11 20:30:00,1.26122,0.01601,0.92454,1.08348,923.38197,0.31653,0.1876
2022-01-11 21:30:00,1.31347,0.0153,0.92456,1.06601,923.38006,0.31653,0.1876
2022-01-11 22:30:00,1.36549,0.01445,0.92457,1.03299,923.37814,0.31653,0.1876
2022-01-11 23:30:00,1.40405,0.01355,0.92458,0.98378,923.37623,0.31652,0.1876
2022-01-12 00:30:00,1.42002,0.01293,0.92459,0.93263,923.37431,0.31652,0.1876
2022-01-12 01:30:00,1.41795,0.01271,0.9246,0.89665,923.3724,0.31652,0.1876
2022-01-12 02:30:00,1.40436,0.01283,0.92461,0.88201,923.37049,0.31651,0.18759
2022-01-12 03:30:00,1.38737,0.01317,0.92462,0.88317,923.36857,0.31651,0.18759
2022-01-12 04:30:00,1.37363,0.01354,0.92463,0.88697,923.36666,0.3165,0.18759
2022-01-12 05:30:00,1.36571,0.01374,0.92464,0.88089,923.36474,0.3165,0.18759
2022-01-12 06:30:00,1.36391,0.01376,0.92466,0.86216,923.36283,0.3165,0.18759
2022-01-12 07:30:00,1.36553,0.01375,0.92467,0.82931,923.36091,0.31649,0.18759
2022-01-12 08:30:00,1.37073,0.0137,0.92468,0.78462,923.359,0.31649,0.18759
2022-01-12 09:30:00,1.37984,0.0135,0.92469,0.74074,923.35708,0.31649,0.18758
2022-01-12 10:30:00,1.40039,0.01268,0.9247,0.69741,923.35517,0.31648,0.18758
2022-01-12 11:30:00,1.42579,0.01211,0.92471,0.65696,923.35325,0.31648,0.18758
2022-01-12 12:30:00,1.22884,0.01546,0.92472,0.62999,923.35134,0.31648,0.18758
2022-01-12 13:30:00,1.28147,0.01458,0.92473,0.61439,923.34942,0.31647,0.18758
